lambda,Ion,Ei (eV),Ek (eV),Configurations,Terms,Ji - Jk,Type(if not E1),Creation IP(eV),ObservationReferences,Note
3586.320,Fe VII,0.130,3.587,3p63d2 - 3p63d2,3F-1G,3 - 4,M1,99.00,FO87,
3662.500,Fe VI,0.147,3.532,3d3 - 3d3,4F-2D2,7/2-5/2,M1,75.00,R11,
3686.831,H19,10.199,13.561,2 - 19,,,,0.00,TI05,
3691.551,H18,10.199,13.556,2 - 18,,,,0.00,TI05,
3697.157,H17,10.199,13.551,2 - 17,,,,0.00,TI05,
3703.859,H16,10.199,13.545,2 - 16,,,,0.00,I04,
3711.977,H15,10.199,13.538,2 - 15,,,,0.00,,
3721.945,H14,10.199,13.529,2 - 14,,,,0.00,,
3726.032,O II,0.000,3.327,2s22p3 - 2s22p3,4S0 - 2D0,3/2-3/2,M1,13.62,,
3728.815,O II,0.000,3.324,2s22p3 - 2s22p3,4S0 - 2D0,3/2-5/2,M1,13.62,,
3734.369,H13,10.199,13.518,2 - 13,,,,0.00,,
3750.158,H12,10.199,13.504,2 - 12,,,,0.00,,
3758.920,Fe VII,0.289,3.587,3p63d2 - 3p63d2,3F-1G,4-4,M1,99.00,"FO87, R11",
3770.637,H11,10.199,13.486,2 - 11,,,,0.00,,
3797.904,H10,10.199,13.462,2 - 10,,,,0.00,,
3835.391,H9,10.199,13.431,2 - 9,,,,0.00,,
3839.270,Fe V,0.010,3.328,3d4 - 3d4,5D-3F2,3-3,M1,54.80,R11,
3868.760,Ne III,0.000,3.204,2s22p4 - 2s22p4,3P-1D,2-2,M1,40.96,,
3888.647,He I,,,,,,,0.00,,
3889.064,H8,10.199,13.386,2 - 8,,,,0.00,,
3891.280,Fe V,0.159,3.344,3d4 - 3d4,5D-3F2,4-4,M1,54.80,"FO87, R11",
3911.330,Fe V,0.159,3.328,3d4 - 3d4,5D-3F2,4 - 3,M1,54.80,FO87,
3967.470,Ne III,0.080,3.204,2s22p4 - 2s22p4,3P-1D,1-2,M1,40.96,,
3970.079,Hε,10.199,13.321,2 - 7,,,,0.00,,
4026.190,He I,20.964,24.042,1s2p - 1s5d,3P0 - 3D,,,0.00,R11,
4068.600,S II,0.000,3.046,3s23p3 - 3s23p3,4S0 - 2P0,3/2-3/2,M1,10.36,R11,
4071.240,Fe V,0.052,3.096,3d4 - 3d4,5D-3P2,2 - 1,M1,54.80,FO87,
4076.349,S II,0.000,3.041,3s23p3 - 3s23p3,4S0 - 2P0,3/2-1/2,M1,10.36,R11,
4101.742,Hδ,10.199,13.221,2 - 6,,,,0.00,,
4143.761,He I,21.218,24.209,1s2p - 1s6d,1P0 - 1D,,,0.00,T00,
4178.862,Fe II,2.583,5.549,3d6(3P2)4s - 3d6(5D)4p,b 4P - z 4F0,5/2 - 7/2,,7.87,OP85,
4180.600,Fe V,0.018,2.982,3d4 - 3d4,5D-3P2,1-0,M1,54.80,R11,
4233.172,Fe II,2.583,5.511,3d6(3P2)4s - 3d6(5D)4p,b 4P - z 4D0,5/2 - 7/2,,7.87,OP85,
4227.190,Fe V,0.159,3.091,3d4 - 3d4,5D - 3H,4 - 4,M1,54.80,I04,
4287.394,Fe II,0.000,2.891,3d6(5D)4s - 3d54s2,a 6D - a 6S,9/2 - 5/2,E2,7.87,I01,
4303.176,Fe II,2.704,5.584,3d6(3P2)4s - 3d6(5D)4p,b 4P - z 4D0,3/2 - 3/2,,7.87,OP85,
4317.139,O II,22.966,25.837,2s22p2(3P)3s - 2s22p2(3P)3p,4P - 4P0,1/2-3/2,,13.62,R11,
4340.471,Hγ,10.199,13.055,2 - 5,,,,0.00,,
4363.210,O III,2.514,5.354,2s22p2 - 2s22p2,1D-1S,2-0,E2,35.12,,
4412.300,Ar XIV,0.000,2.809,2s22p - 2s22p,2P0 - 2P0,1/2-3/2,M1,686.09,W11,
4414.899,O II,23.442,26.249,2s22p2(3P)3s - 2s22p2(3P)3p,2P - 2D0,3/2-5/2,,13.62,R11,
4416.830,Fe II,2.778,5.585,3d6(3P2)4s - 3d6(5D)4p,b 4P - z 4D0,1/2 - 3/2,,7.87,OP85,
4452.098,Fe II,0.107,2.891,3d6(5D)4s - 3d54s2,a 6D - a 6S,3/2 - 5/2,E2,7.87,I01,
4471.479,He I,20.964,23.736,1s2p - 1s4d,3P0 - 3D,,,0.00,,
4489.183,Fe II,2.828,5.589,3d6(3F2)4s - 3d6(5D)4p,b 4F - z 4F0,7/2 - 5/2,,7.87,OP85,
4491.405,Fe II,2.856,5.615,3d6(3F2)4s - 3d6(5D)4p,b 4F - z 4F0,3/2 - 3/2,,7.87,OP85,
4510.910,N III,35.649,38.397,2s2p(3P0)3s - 2s2p(3P0)3p,4P0 - 4D,1/2 - 3/2,,29.60,I01,
4522.634,Fe II,2.844,5.585,3d6(3F2)4s - 3d6(5D)4p,b 4F - z 4D0,5/2 - 3/2,,7.87,OP85,
4555.893,Fe II,2.828,5.549,3d6(3F2)4s - 3d6(5D)4p,b 4F - z 4F0,7/2 - 7/2,,7.87,OP85,
4582.835,Fe II,2.844,5.549,3d6(3F2)4s - 3d6(5D)4p,b 4F - z 4F0,5/2 - 7/2,,7.87,OP85,
4583.837,Fe II,2.807,5.511,3d6(3F2)4s - 3d6(5D)4p,b 4F - z 4D0,9/2 - 7/2,,7.87,OP85,
4629.339,Fe II,2.807,5.484,3d6(3F2)4s - 3d6(5D)4p,b 4F - z 4F0,9/2 - 9/2,,7.87,OP85,
4634.140,N III,30.459,33.133,2s23p - 2s23d,2P0 - 2D,1/2 - 3/2,,29.60,OC82,WR feature
4640.640,N III,30.463,33.134,2s23p - 2s23d,2P0 - 2D,3/2 - 5/2,,29.60,OC82,WR feature
4641.850,N III,30.463,33.133,2s23p - 2s23d,2P0 - 2D,3/2 - 3/2,,29.60,OC82,WR feature
4647.420,C III,29.535,32.202,1s22s3s - 1s22s3p,3S - 3P0,1 - 2,,24.38,S99,WR feature
4650.250,C III,29.535,32.200,1s22s3s - 1s22s3p,3S - 3P0,1 - 1,,24.38,S99,WR feature
4651.470,C III,29.535,32.199,1s22s3s - 1s22s3p,3S - 3P0,1 - 0,,24.38,S99,WR feature
4658.050,Fe III,0.000,2.661,3d6 - 3d6,5D-3F2,4-4,M1,16.18,S99,WR feature
4685.710,He II,48.371,51.017,,,,,54.42,,
4711.260,Ar IV,0.000,2.631,3s23p3 - 3s23p3,4S0 - 2D0,3/2-5/2,M1,40.74,,
4740.120,Ar IV,0.000,2.615,3s23p3 - 3s23p3,4S0 - 2D0,3/2-3/2,M1,40.74,,
4861.333,Hβ,10.199,12.749,2 - 4,,,,0.00,,
4893.370,Fe VII,0.000,2.533,3p63d2 - 3p63d2,3F-3P,2-1,M1,99.00,R11,
4903.070,Fe IV,4.005,6.533,3d5 - 3d5,4G-4F,7/2-7/2,M1,30.65,R11,
4923.927,Fe II,2.891,5.408,3d54s2 - 3d6(5D)4p,a6S - z6P0,5/2-3/2,,7.87,OP85,
4958.911,O III,0.014,2.514,2s22p2 - 2s22p2,3P-1D,1-2,M1,35.12,,
5006.843,O III,0.038,2.514,2s22p2 - 2s22p2,3P-1D,2-2,M1,35.12,,
5018.440,Fe II,2.891,5.361,3d54s2 - 3d6(5D)4p,a6S - z6P0,5/2-5/2,,7.87,OP85,
5084.770,Fe III,0.127,2.565,3d6 - 3d6,5D - 3P2,0 - 1,M1,16.18,I01,
5145.750,Fe VI,0.147,2.556,3d3 - 3d3,4F-2G,7/2-7/2,M1,75.00,R11,
5158.890,Fe VII,0.131,2.533,3p63d2 - 3p63d2,3F-3P,3-1,E2,99.00,R11,
5169.033,Fe II,2.891,5.289,3d54s2 - 3d6(5D)4p,a 6S - z 6P0,5/2 - 7/2,,7.87,OP85,
5176.040,Fe VI,0.248,2.643,3d3 - 3d3,4F-2G,9/2-9/2,M1,75.00,R11,
5197.577,Fe II,3.230,5.615,3d6(3G)4s - 3d6(5D)4p,a 4G - z 4F0,5/2 - 3/2,,7.87,OP85,
5200.257,N I,0.000,2.384,2s22p3 - 2s22p3,4S0 - 2D0,3/2-5/2,M1,0.00,,
5234.625,Fe II,3.221,5.589,3d6(3G)4s - 3d6(5D)4p,a 4G - z 4F0,7/2 - 5/2,,7.87,OP85,
5236.060,Fe IV,4.005,6.372,3d5 - 3d5,4G-2F2,5/2-7/2,M1,30.65,R11,
5270.400,Fe III,0.054,2.406,3d6 - 3d6,5D - 3P2,3 - 2,M1,16.18,I04,
5276.002,Fe II,3.199,5.549,3d6(3G)4s - 3d6(5D)4p,a 4G - z 4F0,9/2 - 7/2,,7.87,OP85,
5276.380,Fe VII,0.289,2.638,3p63d2 - 3p63d2,3F-3P,4-2,E2,99.00,R11,
5302.860,Fe XIV,0.000,2.337,3s23p - 3s23p,2P0 - 2P0,1/2-3/2,M1,361.00,"FO87, K08",
5309.110,Ca V,0.000,2.335,3s23p4 - 3s23p4,3P-1D,2-2,M1,67.10,R11,
5316.615,Fe II,3.153,5.484,3d6(3G)4s - 3d6(5D)4p,a 4G - z 4F0,11/2 - 9/2,,7.87,OP85,
5316.784,Fe II,3.221,5.553,3d6(3G)4s - 3d6(5D)4p,a 4G - z 4D0,7/2 - 5/2,,7.87,OP85,
5335.180,Fe VI,0.000,2.323,3d3 - 3d3,4F-4P,3/2-1/2,M1,75.00,R11,
5424.220,Fe VI,0.063,2.349,3d3 - 3d3,4F - 4P,5/2-3/2,M1,75.00,R11,
5517.709,Cl III,0.000,2.246,3s23p3 - 3s23p3,4S0 - 2D0,3/2 - 5/2,M1,23.81,"I04, T00",
5537.873,Cl III,0.000,2.238,3s23p3 - 3s23p3,4S0 - 2D0,3/2 - 3/2,M1,23.81,"I04, T00",
5637.600,Fe VI,3.532,5.730,3d3 - 3d3,2D2 - 2F,5/2 - 7/2,M1,75.00,I01,
5677.000,Fe VI,0.248,2.431,3d3 - 3d3,4F - 4P,9/2 - 5/2,E2,75.00,I01,
5695.920,C III,32.103,34.280,1s22s3p - 1s22s3d,1P0 - 1D,1 - 2,,24.38,S99,WR feature
5720.700,Fe VII,0.000,2.167,3p63d2 - 3p63d2,3F - 1D,2-2,M1,99.00,"FO87, R11",
5754.590,N II,1.899,4.053,2s22p2 - 2s22p2,1D - 1S,2 - 0,E2,14.53,T00,
5801.330,C IV,37.549,39.685,1s23s - 1s23p,2S - 2P0,1/2 - 3/2,,47.89,S99,WR feature
5811.980,C IV,37.549,39.681,1s23s - 1s23p,2S - 2P0,1/2 - 1/2,,47.89,S99,WR feature
5875.624,He I,20.964,23.073,1s2p - 1s3d,3P0 - 3D,,,0.00,,
6046.440,O I,10.989,13.039,2s22p3(4S0)3p - 2s22p3(4S0)6s,3P - 3S0,2 - 1,,0.00,I01,
6087.000,Fe VII,0.130,2.167,3p63d2 - 3p63d2,3F - 1D,3-2,M1,99.00,"FO87, R11",
6300.304,O I,0.000,1.967,2s22p4 - 2s22p4,3P - 1D,2-2,M1,,,
6312.060,S III,1.404,3.368,3s23p2 - 3s23p2,1D - 1S,2-0,E2,23.33,R11,
6347.100,Si II,8.121,10.074,3s24s - 3s24p,2S - 2P0,1/2 - 3/2,,8.15,I04,
6363.776,O I,0.020,1.967,2s22p4 - 2s22p4,3P - 1D,1-2,M1,0.00,,
6369.462,Fe II,2.891,4.837,3d54s2 - 3d6(5D)4p,a 6S - z 6D0,5/2 - 3/2,,7.87,OP85,
6374.510,Fe X,0.000,1.944,3s23p5 - 3s23p5,2P0 - 2P0,3/2-1/2,M1,235.04,"FO87, R11, K08",
6516.081,Fe II,2.891,4.793,3d54s2 - 3d6(5D)4p,a 6S - z 6D0,5/2 - 7/2,,7.87,OP85,
6548.050,N II,0.006,1.899,2s22p2 - 2s22p2,3P-1D,1-2,M1,14.53,,
6562.819,Hα,10.199,12.088,2 - 3,,,,0.00,,
6583.460,N II,0.016,1.899,2s22p2 - 2s22p2,3P-1D,2-2,M1,14.53,,
6716.440,S II,0.000,1.845,3s23p3 - 3s23p3,4S0 - 2D0,3/2-5/2,M1,10.36,,
6730.810,S II,0.000,1.842,3s23p3 - 3s23p3,4S0 - 2D0,3/2-3/2,M1,10.36,,
7002.230,O I,10.989,12.759,2s22p3(4S0)3p - 2s22p3(4S0)4d,3P - 3D0,2 - 3,,0.00,I01,
7005.870,Ar V,0.252,2.021,3s23p2 - 3s23p2,3P - 1D,2 - 2,M1,59.81,"A92, I04",
7065.196,He I,20.964,22.718,1s2p - 1s3s,3P0 - 3S,,,0.00,,
7135.790,Ar III,0.000,1.737,3s23p4 - 3s23p4,3P-1D,2-2,M1,27.63,R11,
7155.157,Fe II,0.232,1.965,3p63d7 - 3p63d7,a 4F - a 2G,9/2 - 9/2,M1,7.87,OF96,
7170.620,Ar IV,2.615,4.343,3s23p3 - 3s23p3,2D0 - 2P0,3/2 - 3/2,M1,40.74,I04,
7172.000,Fe II,0.301,2.030,3p63d7 - 3p63d7,a 4F - a 2G,7/2 - 7/2,M1,7.87,OF96,
7236.420,C II,16.333,18.046,2s23p - 2s23d,2P0 - 2D,3/2 - 5/2,,11.26,O90,
7237.260,Ar IV,2.631,4.343,3s23p3 - 3s23p3,2D0 - 2P0,5/2 - 3/2,M1,40.74,I04,
7254.448,O I,10.989,12.697,2s22p3(4S0)3p - 2s22p3(4S0)5s,3P - 3S0,2 - 1,,0.00,O90,
7262.760,Ar IV,2.615,4.321,3s23p3 - 3s23p3,2D0 - 2P0,3/2 - 1/2,M1,40.74,I04,
7281.349,He I,21.218,22.920,1s2p - 1s3s,1P0 - 1S,1 - 0,,0.00,O90,
7319.990,O II,3.324,5.017,2s22p3 - 2s22p3,2D0 - 2P0,5/2-3/2,M1,13.62,FO87,
7330.730,O II,3.327,5.017,2s22p3 - 2s22p3,2D0 - 2P0,3/2-3/2,M1,13.62,FO87,
7377.830,Ni II,0.000,1.680,3p63d9 - 3p63d8(3F)4s,2D - 2F,5/2 - 7/2,M1,7.64,A92,
7411.160,Ni II,0.187,1.860,3p63d9 - 3p63d8(3F)4s,2D - 2F,3/2 - 5/2,M1,7.64,O90,
7452.538,Fe II,0.301,1.964,3p63d7 - 3p63d7,a 4F - a 4G,7/2 - 9/2,M1,7.87,O90,
7468.310,N I,10.336,11.996,2s22p2(3P)3s - 2s22p2(3P)3p,4P - 4S0,5/2 - 3/2,,0.00,O90,
7611.000,S XII,0.000,1.629,2s22p - 2s22p,2Po-2Po,1/2-3/2,M1,504.78,W11,
7751.060,Ar III,0.138,1.737,3s23p4 - 3s23p4,3P - 1D,1 - 2,M1,27.63,A92,
7816.136,He I,22.718,24.304,1s3s - 1s7p,3S - 3P0,,,,O90,
7868.194,Ar I,13.273,14.848,3s23p5(2P03/2)4p - 3s23p5(2P03/2)6s,21/2 - 23/20,0-1,,0.00,R11,
7889.900,Ni III,0.169,1.740,3p63d8 - 3p63d8,3F - 1D,3 - 2,M1,18.17,VB01,
7891.800,Fe XI,0.000,1.571,3s23p4 - 3s23p4,3P - 3P,2-1,M1,262.10,"FO87, R11, K08",
8236.790,He II,52.241,53.746,,,,,54.42,OF96,
8392.397,Pa20,12.088,13.564,3 - 20,,,,0.00,O90,
8413.318,Pa19,12.088,13.561,3 - 19,,,,0.00,O90,
8437.956,Pa18,12.088,13.556,3 - 18,,,,0.00,O90,
8446.359,O I,9.521,10.989,2s22p3(4S0)3s - 2s22p3(4S0)3p,3S0 - 3P,1 - 2,,0.00,P88,
8467.254,Pa17,12.088,13.551,3 - 17,,,,0.00,O90,
8498.020,Ca II,1.692,3.151,3p63d - 3p64p,2D - 2P0,3/2 - 3/2,,6.11,P88,
8502.483,Pa16,12.088,13.545,3 - 16,,,,0.00,O90,
8542.090,Ca II,1.700,3.151,3p63d - 3p64p,2D - 2P0,5/2 - 3/2,,6.11,P88,
8545.383,Pa15,12.088,13.538,3 - 15,,,,0.00,O90,
8578.700,Cl II,0.000,1.445,3s23p4 - 3s23p4,3P - 1D,2 - 2,M1,12.97,OF96,
8598.392,Pa14,12.088,13.529,3 - 14,,,,0.00,O90,
8616.950,Fe II,0.232,1.671,3p63d7 - 3p63d7,a 4F - a 4P,9/2 - 5/2,E2,7.87,OF96,
8662.140,Ca II,1.692,3.123,3p63d - 3p64p,2D - 2P0,3/2 - 1/2,,6.11,P88,
8665.019,Pa13,12.088,13.518,3 - 13,,,,0.00,O90,
8680.282,N I,10.336,11.764,2s22p2(3P)3s - 2s22p2(3P)3p,4P - 4D0,5/2 - 7/2,,0.00,O90,
8703.247,N I,10.326,11.750,2s22p2(3P)3s - 2s22p2(3P)3p,4P - 4D0,1/2 - 1/2,,0.00,O90,
8711.703,N I,10.330,11.753,2s22p2(3P)3s - 2s22p2(3P)3p,4P - 4D0,3/2 - 3/2,,0.00,O90,
8750.472,Pa12,12.088,13.504,3 - 12,,,,0.00,O90,
8862.782,Pa11,12.088,13.486,3 - 11,,,,0.00,O90,
8891.910,Fe II,0.301,1.695,3p63d7 - 3p63d7,a 4F - a 4P,7/2 - 3/2,E2,7.87,O90,
9014.909,Pa10,12.088,13.462,3 - 10,,,,0.00,O90,
9068.600,S III,0.037,1.404,3s23p2 - 3s23p2,3P - 1D,1 - 2,M1,23.33,OF96,
9229.014,Pa9,12.088,13.431,3 - 9,,,,0.00,O90,
9531.100,S III,0.103,1.404,3s23p2 - 3s23p2,3P - 1D,2 - 2,M1,23.33,,
9545.969,Paε,12.088,13.386,3 - 8,,,,0.00,O90,
9824.130,C I,0.002,1.264,2s22p2 - 2s22p2,3P - 1D,1 - 2,M1,0.00,OF96,
9850.260,C I,0.005,1.264,2s22p2 - 2s22p2,3P - 1D,2 - 2,M1,0.00,OF96,
9913.000,S VIII,0.000,1.250,2s22p5 - 2s22p5,2P0 - 2P0,3/2 - 1/2,M1,280.93,OF96,
10027.730,He I,23.074,24.310,1s3d - 1s7f,3D - 3F0,,,0.00,OF96,
10031.160,He I,23.074,24.310,1s3d - 1s7f,1D - 1F0,2 - 3,,0.00,O90,
10049.368,Paδ,12.088,13.321,3 - 7,,,,0.00,O90,
10286.730,S II,1.842,3.046,3s23p3 - 3s23p3,2D0 - 2P0,4 - 4,M1,10.36,OF96,
10320.490,S II,1.845,3.046,3s23p3 - 3s23p3,2D0 - 2P0,6 - 4,M1,10.36,OF96,
10336.410,S II,1.842,3.041,3s23p3 - 3s23p3,2D0 - 2P0,4 - 2,M1,10.36,O90,
10746.800,Fe XIII,0.000,1.153,3s23p2 - 3s23p2,3P - 3P,0 - 1,M1,330.80,,
10830.340,He I,19.820,20.964,1s2s - 1s2p,3S - 3P0,1 - 2,,0.00,OF96,
10938.086,Paγ,12.088,13.221,3 - 6,,,,0.00,O90,
